prefix,bits,registry,vendor
70B3D506F,36,MA-S,Beijing Daswell Science and Technology Co.LTD
70B3D5070,36,MA-S,Lumiplan Duhamel
70B3D5071,36,MA-S,"FSR, INC."
70B3D5072,36,MA-S,Lightdrop
70B3D5073,36,MA-S,Liteon Technology Corporation
70B3D5074,36,MA-S,Orlaco Products B.V.
70B3D5075,36,MA-S,Mo-Sys Engineering Ltd
70B3D5076,36,MA-S,"Private Enterprise ""Scientific and Production Private Enterprise""Sparing-Vist Center"""""
70B3D5077,36,MA-S,InAccess Networks SA
70B3D5078,36,MA-S,OrbiWise SA
70B3D5079,36,MA-S,"CheckBill Co,Ltd."
70B3D507A,36,MA-S,ZAO ZEO
70B3D507B,36,MA-S,wallbe GmbH
70B3D507C,36,MA-S,ISAC SRL
70B3D507D,36,MA-S,PANORAMIC POWER
70B3D507E,36,MA-S,"ENTEC Electric & Electronic CO., LTD"
70B3D507F,36,MA-S,Abalance Corporation
70B3D5080,36,MA-S,ABB
70B3D5081,36,MA-S,IST Technologies (SHENZHEN) Limited
70B3D5082,36,MA-S,"Sakura Seiki Co.,Ltd."
70B3D5083,36,MA-S,ZAO ZEO
70B3D5084,36,MA-S,Rako Controls Ltd
70B3D5085,36,MA-S,Human Systems Integration
70B3D5086,36,MA-S,Husty M.Styczen J.Hupert Sp.J.
70B3D5087,36,MA-S,Tempus Fugit Consoles bvba
70B3D5088,36,MA-S,OptiScan Biomedical Corp.
70B3D5089,36,MA-S,Kazdream Technologies LLP
70B3D508A,36,MA-S,MB connect line GmbH Fernwartungssysteme
70B3D508B,36,MA-S,Peter Huber Kaeltemaschinenbau SE
70B3D508C,36,MA-S,Airmar Technology Corp
70B3D508D,36,MA-S,"Clover Electronics Technology Co., Ltd."
70B3D508E,36,MA-S,"Beijing CONvision Technology Co.,Ltd"
70B3D508F,36,MA-S,DEUTA-WERKE GmbH
70B3D5090,36,MA-S,POWERCRAFT ELECTRONICS PVT. LTD.
70B3D5091,36,MA-S,PROFITT Ltd
70B3D5092,36,MA-S,inomed Medizintechnik GmbH
70B3D5093,36,MA-S,Legrand Electric Ltd
70B3D5094,36,MA-S,Circuitlink Pty Ltd
70B3D5095,36,MA-S,plc-tec AG
70B3D5096,36,MA-S,HAVELSAN A.Ş.
70B3D5097,36,MA-S,Avant Technologies
70B3D5098,36,MA-S,Alcodex Technologies Private Limited
